Date,Scrip,Open,High,Low,Close,Volume
20220519,00DS30,2336.48534,2340.45282,2301.82558,2316.6813,6688812000
20220519,00DSES,1391.50679,1394.5039,1371.08596,1383.0427,6688812000
20220519,00DSEX,6309.91585,6324.85999,6222.67281,6258.24873,6688812000
20220519,1JANATAMF,6.1,6.1,6,6,307416
20220519,1STPRIMFMF,17,17,16.4,16.4,48524
20220519,AAMRANET,36.3,37.3,36,36.4,286775
20220519,AAMRATECH,32.3,32.9,31.2,31.7,564544
20220519,ABB1STMF,5.3,5.4,5.3,5.3,116246
20220519,ABBANK,10.4,10.7,10.4,10.5,388194
20220519,ACFL,26.4,27,25.8,26.8,29877
20220519,ACI,276.1,279,274,275.6,56232
20220519,ACIFORMULA,187,191,181.6,181.6,680066
20220519,ACMELAB,87,88.4,86.2,86.9,197762
20220519,ACMEPL,27.5,29,27.5,28.1,400384
20220519,ACTIVEFINE,20.3,20.5,20,20,1022708
20220519,ADNTEL,63,66.3,61.6,64,431086
20220519,ADVENT,25.8,25.8,25,25.1,491408
20220519,AFCAGRO,23,23.1,22.4,22.7,62557
20220519,AFTABAUTO,24.7,25.3,24.3,25,30375
20220519,AGNISYSL,21.5,22.1,21.3,21.5,665135
20220519,AGRANINS,44.6,45.8,42.8,43.8,67383
20220519,AIBL1STIMF,8.7,8.7,8.6,8.7,120783
20220519,AIL,43.1,45.7,43.1,44,66914
20220519,AL-HAJTEX,96.4,97.8,93.6,96.5,213941
20220519,ALARABANK,26,26.2,26,26.1,120663
20220519,ALIF,12.9,13,12.6,12.8,1490840
20220519,ALLTEX,21.6,22.8,21.5,22.1,667195
20220519,AMANFEED,38.6,39.7,37.6,38.4,313461
20220519,AMBEEPHA,430,430,413,414.8,2316
20220519,AMCL(PRAN),260.5,267,255.1,259.2,30273
20220519,ANLIMAYARN,36.1,36.1,34.6,34.9,10838
20220519,ANWARGALV,341.1,355,341,345.8,32680
20220519,AOL,34.8,35.9,34.8,35.3,78838
20220519,APEXFOODS,183.8,183.8,175.2,177.1,28830
20220519,APEXFOOT,275.9,276,267.3,268.1,27381
20220519,APEXSPINN,129.3,131.6,126.1,127.4,58358
20220519,APEXTANRY,157,157,145.8,147.8,76391
20220519,APOLOISPAT,8,8.2,7.9,7.9,707066
20220519,ARAMIT,280,280,265.8,267.6,14143
20220519,ARAMITCEM,29.9,29.9,27.1,28,86674
20220519,ARGONDENIM,17.4,17.8,17.1,17.3,90615
20220519,ASIAINS,55.6,55.6,53.6,53.9,513750
20220519,ASIAPACINS,49,52,48.7,50.9,98481
20220519,ATCSLGF,9.6,9.7,9.5,9.6,206092
20220519,ATLASBANG,99.6,102,99.6,101.5,3126
20220519,AZIZPIPES,98.6,98.6,93,94.2,13914
20220519,BANGAS,155.8,158,151.3,151.3,434761
20220519,BANKASIA,18,18.7,17.9,18.1,216971
20220519,BARKAPOWER,24.4,24.4,24,24.2,230186
20220519,BATASHOE,915,940,912,923.6,1871
20220519,BATBC,547.7,547.7,535.1,539.5,179774
20220519,BAYLEASING,25.3,26,24.7,25.3,776496
20220519,BBS,22.5,23.5,22.4,22.9,1180969
