Date,Scrip,Open,High,Low,Close,Volume
20220828,00DS30,2267.35078,2291.2377,2269.24315,2271.01032,21051415000
20220828,00DSES,1390.61128,1402.92834,1388.84296,1390.41109,21051415000
20220828,00DSEX,6355.07448,6441.09402,6383.07609,6401.80575,21051415000
20220828,1JANATAMF,6.3,6.3,6.2,6.3,833931
20220828,1STPRIMFMF,17,17.3,17,17.2,490026
20220828,AAMRANET,40.2,40.2,39.3,39.5,1333595
20220828,AAMRATECH,38.9,39.3,38,38.2,2163211
20220828,ABB1STMF,5.5,5.5,5.4,5.5,1197879
20220828,ABBANK,10.1,11,10.1,10.5,2757194
20220828,ACFL,28.1,28.2,27.3,27.9,343867
20220828,ACI,286.5,286.5,278.6,279.3,93859
20220828,ACIFORMULA,167.9,169.9,163,164.7,373601
20220828,ACMELAB,90.5,93.2,90.5,91,859265
20220828,ACMEPL,40.5,41.8,39.8,40.2,1243775
20220828,ACTIVEFINE,20.4,20.8,20.1,20.3,2320956
20220828,ADNTEL,61.5,62.6,61.1,61.4,318994
20220828,ADVENT,24,25.2,24,24.7,1849035
20220828,AFCAGRO,24.5,24.7,24,24.3,770641
20220828,AFTABAUTO,26.2,26.9,26.1,26.7,149140
20220828,AGNISYSL,23.5,24.2,23.5,23.6,1863543
20220828,AGRANINS,40.2,41.1,39.8,40.3,146806
20220828,AIBL1STIMF,7.3,7.4,7.3,7.3,90926
20220828,AIL,57,57.6,56.1,56.5,753856
20220828,AL-HAJTEX,135.1,142.8,135.1,139.2,389137
20220828,ALARABANK,23.6,23.9,23.6,23.7,29619
20220828,ALIF,13.7,14.7,13.7,14.6,14281775
20220828,ALLTEX,24.6,24.9,24.6,24.6,1509969
20220828,AMANFEED,36.1,39.2,36.1,39.1,4824184
20220828,AMBEEPHA,561,561,510,516.9,12028
20220828,AMCL(PRAN),319,330,315,316.3,72432
20220828,ANLIMAYARN,40.7,41.3,39.8,40.2,400789
20220828,ANWARGALV,409,409,390,397.2,47491
20220828,AOL,38.4,39.5,38.3,38.9,485511
20220828,APEXFOODS,218,223,212.1,215,259081
20220828,APEXFOOT,298.8,306,285.1,289.9,97059
20220828,APEXSPINN,158,160,147.3,149.9,153567
20220828,APEXTANRY,139.2,139.2,134.9,135.5,84434
20220828,APOLOISPAT,8.4,8.5,8.2,8.3,1754333
20220828,ARAMIT,303.7,319,303,304.2,31627
20220828,ARAMITCEM,31.8,32.5,31.4,31.6,308027
20220828,ARGONDENIM,20.7,20.7,19.6,19.8,531152
20220828,ASIAINS,53.4,55.2,53.4,54.5,666654
20220828,ASIAPACINS,47.5,49.5,47.4,48.6,141770
20220828,ATCSLGF,9.7,9.7,9.7,9.7,94541
20220828,ATLASBANG,107,108.8,104.3,104.7,15146
20220828,AZIZPIPES,107,107,101.1,101.5,55203
20220828,BANGAS,140,141,133.1,134.5,196891
20220828,BANKASIA,20.3,20.4,20.2,20.3,31479
20220828,BARKAPOWER,22.1,23.1,22,22.6,566005
20220828,BATASHOE,960.5,980.6,960.5,978.6,5075
20220828,BATBC,519,523.5,518.7,520.8,164146
20220828,BAYLEASING,28,29.4,27.4,27.8,3527138
20220828,BBS,23.1,25,23.1,25,12298343
20220828,BBSCABLES,55,58.9,54.8,56.2,1558164
20220828,BDAUTOCA,143.5,147,137,139.6,39785
20220828,BDCOM,32.6,32.7,32,32.1,2325650
20220828,BDFINANCE,46,46,44.5,45,310677
20220828,BDLAMPS,304,320,295.2,296.8,138588
20220828,BDTHAI,17.9,18.7,17.9,18.2,1440470
20220828,BDTHAIFOOD,37.3,40.7,37.3,38.4,1207251
20220828,BDWELDING,23,25.1,23,25,1938818
20220828,BEACHHATCH,41.7,41.9,41.7,41.7,336066
20220828,BEACONPHAR,276.1,286.7,254.2,256.1,222539
20220828,BENGALWTL,24.9,26.8,24.9,26,2678242
20220828,BERGERPBL,1760.1,1779,1757.1,1766.2,756
20220828,BEXGSUKUK,86,88,86,88,44713
20220828,BEXIMCO,127.1,127.1,118.8,120.2,8781579
20220828,BGIC,39.6,40.9,39.6,40.3,70263
20220828,BIFC,10.5,10.5,9.7,9.8,330252
20220828,BNICL,60,65,60,64.5,1846205
20220828,BPML,55.2,59.2,55.2,59.2,1071130
20220828,BPPL,29.5,30.2,29.4,29.7,879281
20220828,BRACBANK,38.5,38.9,38.5,38.5,3391805
20220828,BSC,125,127.4,123.1,126.4,2735509
20220828,BSCCL,223.3,225.8,220.1,220.8,364794
20220828,BSRMLTD,92.6,95.9,92.6,94.1,203498
20220828,BSRMSTEEL,66.6,69,66.6,68.2,197552
20220828,BXPHARMA,164.8,168.5,162.2,163.2,549749
