Date,Scrip,Open,High,Low,Close,Volume
20220123,00DS30,2635.38333,2648.2747,2622.94191,2629.44965,14824500000
20220123,00DSES,1508.39624,1516.94776,1505.12897,1508.09575,14824500000
20220123,00DSEX,7105.69315,7133.79915,7068.78421,7073.00015,14824500000
20220123,1JANATAMF,6.5,6.6,6.5,6.5,272823
20220123,1STPRIMFMF,20.3,20.3,19.8,19.9,276994
20220123,AAMRANET,45.6,45.7,45,45.4,290379
20220123,AAMRATECH,31.7,32.1,31.2,31.5,571596
20220123,ABB1STMF,5.7,5.7,5.7,5.7,351172
20220123,ABBANK,13.5,13.7,13.5,13.6,630427
20220123,ACFL,32.5,32.5,31.1,31.3,84527
20220123,ACI,325,327.5,315.1,316.2,698464
20220123,ACIFORMULA,178.6,182,174.1,177.4,310662
20220123,ACMELAB,93.1,93.4,90.7,91.1,258645
20220123,ACMEPL,32.2,32.4,31.3,31.4,530810
20220123,ACTIVEFINE,30.3,30.3,28.8,28.9,5969872
20220123,ADNTEL,52.5,53,51.6,51.8,166568
20220123,ADVENT,26.9607843137255,26.9607843137255,25.9803921568627,26.2745098039216,329315
20220123,AFCAGRO,32.9,33,31.2,31.4,825743
20220123,AFTABAUTO,29.6,30.4,29.5,29.6,46347
20220123,AGNISYSL,23.8,25.7,23.7,25.4,5275569
20220123,AGRANINS,57,58,56.8,57.7,287743
20220123,AIBL1STIMF,8.9,9,8.8,8.9,5926
20220123,AIL,50,50,46.6,47,212075
20220123,AL-HAJTEX,90.3,91.6,89.1,90.3,395037
20220123,ALARABANK,27,27,26.8,26.9,84084
20220123,ALIF,15.5,15.6,15,15.1,5374413
20220123,ALLTEX,19,19,18.3,18.4,61348
20220123,AMANFEED,56.5,57.8,55.1,55.4,730028
20220123,AMBEEPHA,502,502,482.1,489.5,7155
20220123,AMCL(PRAN),370,389.9,360.2,371.3,179753
20220123,ANLIMAYARN,37.3,37.5,36.8,37,164500
20220123,ANWARGALV,427.4,429,410,411.2,58501
20220123,AOL,41.4953271028037,41.8691588785047,40.6542056074766,41.0280373831776,152028
20220123,APEXFOODS,183.1,199,181,192.2,293250
20220123,APEXFOOT,332,353.9,325.1,353.9,1036185
20220123,APEXSPINN,132.2,138.4,129.3,136.8,93049
20220123,APEXTANRY,144.4,152,142.9,149.2,201273
20220123,APOLOISPAT,9.5,9.5,9.1,9.1,1129156
20220123,APSCLBOND,5470,5500,5470,5499,32
20220123,ARAMIT,340,355,340,347.8,35789
20220123,ARAMITCEM,38.3,38.3,35.5,35.7,112189
20220123,ARGONDENIM,19.9,19.9,19.1,19.2,374854
20220123,ASIAINS,105.2,109.1,104,108.6,3485103
20220123,ASIAPACINS,65.4,67.8,65,66.7,297006
20220123,ATCSLGF,9.9,9.9,9.6,9.7,235108
20220123,ATLASBANG,110.3,116.9,108.2,115.9,11979
20220123,AZIZPIPES,105,105.5,102,103.2,84042
20220123,BANGAS,130,135,123,133.6,188233
20220123,BANKASIA,20.6,20.6,20.2,20.6,228799
20220123,BARKAPOWER,24.8,24.8,24.4,24.5,317203
20220123,BATASHOE,905,929.9,905,920.5,5590
20220123,BATBC,648,669.5,648,663.3,489015
20220123,BAYLEASING,31.9,31.9,31,31.2,606902
20220123,BBS,19.4,19.4,19,19.2,334039
20220123,BBSCABLES,60,60,58.6,58.9,826877
20220123,BDAUTOCA,150.1,157,143.5,146.8,73639
20220123,BDCOM,24.4,25.2,24.1,24.6,674902
20220123,BDFINANCE,49.9056603773585,50,48.8679245283019,49.0566037735849,228995
20220123,BDLAMPS,222,240.7,222,240.5,407106
20220123,BDTHAI,22.4,22.4,21.3,21.5,907448
20220123,BDWELDING,17.3,17.4,17.1,17.1,91336
20220123,BEACHHATCH,30.2,31.2,30.1,30.6,241089
20220123,BEACONPHAR,241,258,241,248.9,597072
20220123,BENGALWTL,24.3,24.4,23.3,23.5,161564
20220123,BERGERPBL,1792,1809.9,1790,1806.9,6123
20220123,BEXGSUKUK,90.5,92.5,90,90.5,225397
20220123,BEXIMCO,162.3,164,155,158.2,9742004
20220123,BGIC,53.1,54.7,52.8,54.3,1205728
20220123,BIFC,7.3,7.3,6.7,6.9,27502
20220123,BNICL,126,129,122.5,125.9,252361
20220123,BPML,61.1,61.1,59.2,59.9,744937
20220123,BPPL,37,37.2,36.2,36.3,432595
20220123,BRACBANK,54.2325581395349,54.3255813953488,53.4883720930233,53.6744186046512,282010
20220123,BSC,140,140.8,129.5,130.8,4781417
20220123,BSCCL,220,235.4,216.7,232,665990
20220123,BSRMLTD,111.6,111.6,107.8,109.1,269422
20220123,BSRMSTEEL,77.8,79.2,76.2,77.9,513191
20220123,BXPHARMA,205.7,211.8,200.1,203,1225942
20220123,CAPMBDBLMF,10.2,10.2,10.1,10.1,116073
20220123,CAPMIBBLMF,16,16.1,15.8,15.9,85404
20220123,CENTRALINS,52.9,53.8,52.2,52.9,186375
20220123,CENTRALPHL,14.6,14.7,14.1,14.2,1289725
20220123,CITYBANK,24.5333333333333,24.7111111111111,24.2666666666667,24.2666666666667,336445
20220123,CITYGENINS,41.5,41.5,40.2,40.6,364646
20220123,CNATEX,8.4,8.5,8.3,8.4,1525420
20220123,CONFIDCEM,122,122,120,120.2,139180
20220123,CONTININS,45.8,46.3,45,45.6,264512
