Date,Scrip,Open,High,Low,Close,Volume
20211202,00DS30,2589.85201,2644.02026,2546.72003,2635.93837,12451960000
20211202,00DSES,1437.77418,1461.27589,1419.97347,1458.91757,12451960000
20211202,00DSEX,6847.00432,6948.06341,6757.20486,6936.20154,12451960000
20211202,1JANATAMF,6.6,6.6,6.4,6.5,400814
20211202,1STPRIMFMF,21.5,21.5,21,21.2,372850
20211202,AAMRANET,43.5,44.9,42.1,43.8,191143
20211202,AAMRATECH,28,28.8,27.6,28.2,148717
20211202,ABB1STMF,5.8,5.9,5.8,5.8,879688
20211202,ABBANK,14.6,14.8,14.4,14.7,3310499
20211202,ACFL,30,31.4,30,30.7,267255
20211202,ACI,294,300,289.2,298,117536
20211202,ACIFORMULA,149,158.1,149,157.3,23890
20211202,ACMELAB,83.7,85.9,82.8,85.2,299908
20211202,ACMEPL,32.1,36.9,31,36.9,3829449
20211202,ACTIVEFINE,24,25.1,23.4,24.3,4155431
20211202,ADNTEL,56,57.4,54.7,56.2,102495
20211202,ADVENT,25,25.5882352941176,24.8039215686275,25,777137
20211202,AFCAGRO,31.2,32.1,30.7,31.9,974497
20211202,AFTABAUTO,26.9,27.5,26.8,27.3,24572
20211202,AGNISYSL,21.3,22.3,20.9,22,926618
20211202,AGRANINS,53,53.6,52.1,53.2,153231
20211202,AIBL1STIMF,8.5,8.8,8.5,8.7,38442
20211202,AIL,42.1,44.8,42.1,43.9,161553
20211202,AL-HAJTEX,68.3,69.5,67.9,68.8,101440
20211202,ALARABANK,26.5,26.9,26.2,26.6,133434
20211202,ALIF,14.5,14.6,14.1,14.3,6835742
20211202,ALLTEX,16.4,16.5,15,15.6,93547
20211202,AMANFEED,60.8,62.8,60.5,62.4,915264
20211202,AMBEEPHA,380.5,387.9,377,379.5,892
20211202,AMCL(PRAN),210,211.8,206.7,209.3,10778
20211202,ANLIMAYARN,37.3,37.3,35,36.3,26666
20211202,ANWARGALV,383.1,395,383.1,391.7,69953
20211202,AOL,38.6915887850467,40.2803738317757,38.5981308411215,39.9065420560748,128965
20211202,APEXFOODS,127.5,129.5,126.5,128.2,10573
20211202,APEXFOOT,236.9,241.9,233.9,240.9,2760
20211202,APEXSPINN,119,120.8,118.4,119.9,10776
20211202,APEXTANRY,121.8,121.8,116,118.3,10719
20211202,APOLOISPAT,8.3,8.5,8.2,8.3,945322
20211202,APSCLBOND,5350,5350,5350,5350,1
20211202,ARAMIT,284,294,283,286.2,7076
20211202,ARAMITCEM,30.9,31.3,29,30.1,172674
20211202,ARGONDENIM,17.7,18.2,17.6,18.1,324578
20211202,ASIAINS,82.3,83,81.3,82,69994
20211202,ASIAPACINS,61.7,62.7,61.5,62.3,16259
20211202,ATCSLGF,10,10.1,9.9,10.1,147249
20211202,ATLASBANG,95,100.8,91.3,93.5,5421
20211202,AZIZPIPES,94.6,94.6,91,92.2,15360
20211202,BANGAS,112.5,114,111.6,113.4,14221
20211202,BANKASIA,20.4,20.7,20.2,20.6,95986
20211202,BARKAPOWER,23.6,25.1,23.5,24.8,842329
20211202,BATASHOE,885,885,875,877.7,1062
20211202,BATBC,626.1,633.2,622,631.4,152992
20211202,BAYLEASING,33,34.4,32.7,34.1,1466967
20211202,BBS,16.1,16.4,16.1,16.4,38680
20211202,BBSCABLES,57.4,59.3,57.4,58.1,704718
20211202,BDAUTOCA,123.6,125.7,120,124.6,8912
20211202,BDCOM,24.1,24.5,24,24.3,382799
20211202,BDFINANCE,56.9811320754717,59.4339622641509,56.7924528301887,59.0566037735849,462981
20211202,BDLAMPS,171.2,173,167.1,170.4,34208
20211202,BDTHAI,20.7,20.8,20.2,20.4,600814
20211202,BDWELDING,16.1,16.8,16.1,16.6,28623
20211202,BEACHHATCH,25.7,27.7,25.6,27.3,754418
20211202,BEACONPHAR,222.5,232.7,222.5,230.1,698999
20211202,BENGALWTL,22.1,22.1,21,21.8,114481
20211202,BERGERPBL,1770,1774,1763,1771.3,877
20211202,BEXIMCO,164.9,172.3,155.2,168.2,9348847
20211202,BGIC,48,48.3,47.5,47.9,47502
20211202,BIFC,6.4,6.4,6,6.3,17376
20211202,BNICL,114.3,119,114,118,7059
20211202,BPML,44.6,45.6,44,45.3,35795
20211202,BPPL,37.2,39,36.6,38.6,1258882
20211202,BRACBANK,50.046511627907,51.2558139534884,48.6511627906977,50.6046511627907,3526974
20211202,BSC,45.2,47.4,45.1,46.9,456466
20211202,BSCCL,181.2,198,179.1,196.6,561923
20211202,BSRMLTD,100.5,110.9,100.1,109.5,641190
20211202,BSRMSTEEL,66.2,74,66.2,73.7,771274
20211202,BXPHARMA,203,211,195.3,209.1,1073386
20211202,CAPMBDBLMF,10,10,9.8,10,257700
20211202,CAPMIBBLMF,17.4,17.6,17.3,17.4,133189
20211202,CENTRALINS,51.5,52,50.9,51.5,59550
20211202,CENTRALPHL,12.1,12.4,12,12.2,250035
20211202,CITYBANK,24.3555555555556,24.8888888888889,23.2888888888889,24.5333333333333,813808
20211202,CITYGENINS,39.8,40.6,39,40.4,306889
20211202,CNATEX,7.5,7.6,7.4,7.6,369573
20211202,CONFIDCEM,115,118.7,113.4,118,143765
20211202,CONTININS,42.8,44.7,42.8,44.2,61883
20211202,COPPERTECH,32.2,33.2,31.2,32.7,266867
20211202,CRYSTALINS,52.8,53,52,53,43124
20211202,CVOPRL,158.2,161.7,156.5,157.4,90351
20211202,DACCADYE,20.3,21,20.1,20.9,252308
20211202,DAFODILCOM,60.6,60.7,59.5,60.2,13230
20211202,DBH,70.2727272727273,71.8181818181818,69.0909090909091,71.7272727272727,49969
20211202,DBH1STMF,7.9,8,7.9,8,98085
20211202,DELTALIFE,210,213.6,204,208.4,1561634
20211202,DELTASPINN,8.7,8.8,8.6,8.7,605685
20211202,DESCO,35.5,37,35,36.6,137505
20211202,DESHBANDHU,19.8,21.2,19.7,20.5,830276
20211202,DGIC,38.5,38.8,37.5,38.4,60193
20211202,DHAKABANK,14.8,14.9,14.5,14.6,1772526
20211202,DHAKAINS,73.6,73.6,70.7,71.1,52024
20211202,DOMINAGE,23.3333333333333,24.3809523809524,22.952380952381,24.1904761904762,421078
20211202,DOREENPWR,67.1,72.8,67,70.8,642415
20211202,DSHGARME,142,148,142,146,8759
20211202,DSSL,15.2,15.7,15.1,15.6,502465
20211202,DULAMIACOT,49.4,50.9,49.4,49.5,350
20211202,DUTCHBANGL,73.6363636363636,75.9090909090909,71.8181818181818,74.2727272727273,1484687
20211202,EASTERNINS,106,106.3,104,105.2,146591
20211202,EASTLAND,38.1,38.8,37,38,196037
20211202,EASTRNLUB,2015.16666666667,2015.83333333333,1950,1960,5034
20211202,EBL,33.8666666666667,34.5777777777778,33.6888888888889,34.4888888888889,383822
20211202,EBL1STMF,7.8,7.8,7.7,7.7,43367
20211202,EBLNRBMF,6.4,6.5,6.4,6.4,257073
20211202,ECABLES,120,125,120,123.9,472
20211202,EGEN,56,56,53.1,55.1,54606
20211202,EHL,50,51.8,50,51.4,65719
20211202,EIL,32.2,33.4,32,33.3,186336
20211202,EMERALDOIL,34.6,35.8,34,34.5,234970
20211202,ENVOYTEX,49.5,53.4,46,49.3,15619
20211202,EPGL,41,42.9,41,42.4,164395
20211202,ESQUIRENIT,34.3,34.7,33.1,34.5,133978
20211202,ETL,10.2,10.5,10.2,10.3,473638
20211202,EXIM1STMF,6.7,6.8,6.6,6.7,438870
20211202,EXIMBANK,13,13.4,13,13.3,3228932
20211202,FAMILYTEX,4.8,4.9,4.7,4.8,998173
20211202,FARCHEM,11.6,11.9,11.6,11.7,441068
20211202,FAREASTFIN,6.7,6.7,6.6,6.6,13641
20211202,FAREASTLIF,47.9,48.9,47.2,47.5,87306
20211202,FASFIN,6.8,6.9,6.7,6.9,343130
20211202,FBFIF,5.6,5.7,5.5,5.6,1696515
20211202,FEDERALINS,35.9,35.9,34.8,35.2,89506
20211202,FEKDIL,16,17,15,16.4,1535258
20211202,FINEFOODS,39.7,40.3,39.1,40,28179
20211202,FIRSTFIN,7.5,7.5,7.1,7.2,48594
20211202,FIRSTSBANK,15,15.8,14.6,15.4,35858171
20211202,FORTUNE,96.6,97.1,94,94.5,1334498
20211202,FUWANGCER,16.2,16.7,16.2,16.6,454895
20211202,GBBPOWER,34.5,39,34.2,38.8,1450711
20211202,GEMINISEA,222.2,225,220,221.1,42469
20211202,GENEXIL,142.818181818182,146.545454545455,141.818181818182,143.363636363636,507364
20211202,GENNEXT,5.8,5.9,5.7,5.8,378373
20211202,GHAIL,16.7,17,16.5,16.9,244064
20211202,GHCL,31,32,30.7,31.3,26052
20211202,GLOBALINS,46.8,47,46.3,46.7,159821
20211202,GOLDENSON,20.8,21.7,20.1,21.3,6159555
20211202,GP,355,359.8,353,358.7,126718
20211202,GPHISPAT,53,56.4,52.5,56,1625486
20211202,GQBALLPEN,102.5,104.5,102.5,103.3,14841
20211202,GRAMEENS2,16.4,16.5,16.2,16.3,289126
20211202,GREENDELMF,7.9,7.9,7.7,7.7,74253
20211202,GREENDELT,92.9,93.9,90,92,102331
20211202,GSPFINANCE,22.9,25,22.6,24.8,7167408
20211202,HAKKANIPUL,47.5,48.3,46.9,47.6,119871
20211202,HEIDELBCEM,278,282.9,276.8,278,1949
20211202,HFL,25.9,25.9,25,25.2,1150205
20211202,HRTEX,55.3,56.9,53,54.7,82732
20211202,HWAWELLTEX,45,45,44,44.5,210
20211202,IBNSINA,267.7,271.9,267.7,270.7,12319
20211202,IBP,18.9,19,18.4,18.7,368628
20211202,ICB,113.6,125.5,113.6,122.6,177634
20211202,ICB3RDNRB,6.9,6.9,6.7,6.8,47085
20211202,ICBAGRANI1,8.6,9,8.6,9,42200
20211202,ICBAMCL2ND,10.3,10.6,10.3,10.4,351819
20211202,ICBEPMF1S1,7.2,7.3,7.1,7.2,31246
20211202,ICBIBANK,5.5,5.5,5.4,5.4,610582
20211202,ICBSONALI1,7.8,8.1,7.8,8,3989
20211202,IDLC,56.8571428571429,60.1904761904762,55.8095238095238,60,3739552
20211202,IFADAUTOS,47.9,49.7,46.2,48.9,283713
20211202,IFIC,18,18.4761904761905,17.3333333333333,18.1904761904762,15414549
20211202,IFIC1STMF,5.9,6,5.8,5.9,584699
20211202,IFILISLMF1,6.5,6.6,6.5,6.5,66710
20211202,ILFSL,6.6,6.8,6.6,6.7,120299
